REPORTER_CD,year,class
340,2006,H2
340,2007,H3
340,2009,H3
340,2010,H3
340,2011,H3
340,2012,H4
340,2014,H4
340,2015,H4
340,2016,H4
340,2017,H5
344,2001,H1
344,2002,H2
344,2003,H2
344,2004,H2
344,2005,H2
344,2006,H2
344,2007,H3
344,2008,H3
344,2009,H3
344,2010,H3
344,2011,H3
344,2012,H4
344,2013,H4
344,2014,H4
344,2015,H4
344,2016,H4
344,2017,H5
348,2001,H1
348,2002,H2
348,2003,H2
348,2004,H2
348,2005,H2
348,2006,H2
348,2007,H3
348,2008,H3
348,2009,H3
348,2010,H3
348,2011,H3
348,2012,H4
348,2013,H4
348,2014,H4
348,2015,H4
348,2016,H4
348,2017,H5
352,2001,H1
352,2002,H2
352,2003,H2
352,2004,H2
352,2005,H2
352,2006,H2
352,2007,H3
352,2008,H3
352,2009,H3
352,2010,H3
352,2011,H3
352,2012,H4
352,2013,H4
352,2014,H4
352,2015,H4
352,2016,H4
352,2017,H5
360,2001,H1
360,2002,H1
360,2003,H1
360,2004,H1
360,2005,H1
360,2006,H1
360,2007,H1
360,2008,H1
360,2009,H1
360,2010,H3
360,2011,H3
360,2012,H4
360,2013,H4
360,2014,H4
360,2015,H4
360,2016,H4
360,2017,H5
364,2001,H1
364,2002,H1
364,2003,H2
364,2004,H2
364,2005,H2
364,2006,H2
364,2010,H2
364,2011,H3
368,2001,S3
368,2002,S3
368,2004,S3
368,2005,S3
368,2006,S3
368,2007,S3
368,2008,S3
368,2009,S3
368,2010,H3
368,2011,H2
368,2012,H2
368,2013,H2
368,2014,H2
368,2015,H2
368,2016,H2
372,2001,H1
372,2002,H2
372,2003,H2
372,2004,H2
372,2005,H2
372,2006,H2
372,2007,H3
372,2008,H3
372,2009,H3
372,2010,H3
372,2011,H3
372,2012,H4
372,2013,H4
372,2014,H4
372,2015,H4
372,2016,H4
372,2017,H5
376,2001,H1
376,2002,H2
376,2003,H2
376,2004,H2
376,2005,H2
376,2006,H2
376,2007,H3
376,2008,H3
376,2009,H3
376,2010,H3
376,2011,H3
376,2012,H4
376,2013,H4
376,2014,H4
376,2015,H4
376,2016,H4
376,2017,H5
381,2001,H1
381,2002,H2
381,2003,H2
381,2004,H2
381,2005,H2
381,2006,H2
381,2007,H3
381,2008,H3
381,2009,H3
381,2010,H3
381,2011,H3
381,2012,H4
381,2013,H4
381,2014,H4
381,2015,H4
381,2016,H4
381,2017,H5
384,2001,H1
384,2002,H1
384,2003,H2
384,2004,H2
384,2005,H2
384,2006,H2
384,2007,H2
384,2008,H3
384,2009,H3
384,2010,H3
384,2011,H3
384,2012,H3
384,2013,H3
384,2014,H3
384,2015,H4
388,2001,H1
388,2002,H1
388,2003,H1
388,2004,H2
388,2005,H2
388,2006,H2
388,2007,H2
388,2008,H3
388,2009,H3
388,2010,H3
388,2011,H3
388,2012,H3
388,2013,H3
388,2014,H4
388,2015,H4
388,2016,H4
388,2017,H4
392,2001,H1
392,2002,H2
392,2003,H2
392,2004,H2
392,2005,H2
392,2006,H2
392,2007,H3
392,2008,H3
392,2009,H3
392,2010,H3
392,2011,H3
392,2012,H4
392,2013,H4
392,2014,H4
392,2015,H4
392,2016,H4
392,2017,H5
398,2001,H1
398,2002,H1
398,2003,H1
398,2004,H2
398,2005,H2
398,2006,H2
398,2007,H2
398,2008,H2
398,2009,H3
398,2010,H3
398,2011,H3
398,2012,H4
398,2013,H4
398,2014,H4
398,2015,H4
398,2016,H4
398,2017,H5
400,2001,H1
400,2002,H2
400,2003,H2
400,2004,H2
400,2005,H2
400,2006,H2
400,2007,H3
400,2008,H3
400,2009,H3
400,2010,H3
400,2011,H3
400,2012,H4
400,2013,H4
400,2014,H4
400,2015,H4
400,2016,H4
400,2017,H5
404,2001,H1
404,2002,H2
404,2003,H2
404,2004,H2
404,2005,H2
404,2006,H2
404,2007,H2
404,2008,H3
404,2009,H3
404,2010,H3
404,2013,H3
410,2001,H1
410,2002,H2
410,2003,H2
410,2004,H2
410,2005,H2
410,2006,H2
410,2007,H3
410,2008,H3
410,2009,H3
410,2010,H3
410,2011,H3
410,2012,H4
410,2013,H4
410,2014,H4
410,2015,H4
410,2016,H4
410,2017,H5
414,2001,H0
414,2002,H0
414,2003,H0
414,2004,H0
414,2006,H2
414,2007,H2
414,2008,H2
414,2009,H2
414,2010,H3
414,2011,H3
414,2013,H4
414,2014,H4
414,2015,H4
414,2016,H4
414,2017,H5
417,2001,H1
417,2002,H1
417,2003,H2
417,2004,H2
417,2005,H2
417,2006,H2
417,2007,H2
417,2008,H3
417,2009,H3
417,2010,H3
417,2011,H3
417,2012,H3
417,2013,H3
417,2015,H4
417,2016,H4
